Code,Year,Age,StagYear,Form,LastSeen,AgeClass,animal,y_form,p_form,e_form,ABS,ABSY,ABSP,ABSO,Mass,Length
5639,1974,6,5639_1974,2.5,9,1,5639,2.5,NA,NA,NA,NA,NA,NA,760,80.15
5639,1975,7,5639_1975,2.5,9,1,5639,2.5,NA,NA,NA,NA,NA,NA,NA,NA
5639,1977,9,5639_1977,4.5,9,2,5639,NA,4.5,NA,NA,NA,NA,NA,NA,NA
3388,2007,5,3388_2007,5,5,1,3388,5,NA,NA,NA,NA,NA,NA,NA,47.45
3388,2005,3,3388_2005,5,5,1,3388,5,NA,NA,NA,NA,NA,NA,NA,NA
3521,2021,5,3521_2021,6,5,1,3521,6,NA,NA,0,0,NA,NA,NA,62
3521,2019,3,3521_2019,3.75,5,1,3521,3.75,NA,NA,0,0,NA,NA,NA,NA
3521,2020,4,3521_2020,5,5,1,3521,5,NA,NA,0,0,NA,NA,NA,NA
2065,2005,10,2065_2005,6,10,2,2065,NA,6,NA,NA,NA,NA,NA,NA,63.75
2065,1998,3,2065_1998,3.25,10,1,2065,3.25,NA,NA,NA,NA,NA,NA,NA,NA
2065,1999,4,2065_1999,3.25,10,1,2065,3.25,NA,NA,NA,NA,NA,NA,NA,45.75
2065,2000,5,2065_2000,5,10,1,2065,5,NA,NA,0,0,NA,NA,450,50.4
2065,2001,6,2065_2001,4.5,10,1,2065,4.5,NA,NA,1,1,NA,NA,500,56.8
2065,2002,7,2065_2002,5,10,1,2065,5,NA,NA,0,0,NA,NA,NA,NA
2065,2003,8,2065_2003,5.5,10,2,2065,NA,5.5,NA,1,NA,1,NA,NA,NA
2065,2004,9,2065_2004,6,10,2,2065,NA,6,NA,NA,NA,NA,NA,NA,NA
1467,2006,15,1467_2006,4,15,3,1467,NA,NA,4,NA,NA,NA,NA,NA,82.5
1467,1994,3,1467_1994,4,15,1,1467,4,NA,NA,0,0,NA,NA,NA,NA
1467,1995,4,1467_1995,4,15,1,1467,4,NA,NA,0,0,NA,NA,NA,NA
1467,1996,5,1467_1996,4,15,1,1467,4,NA,NA,2,2,NA,NA,605,65.1
1467,1997,6,1467_1997,4.5,15,1,1467,4.5,NA,NA,0,0,NA,NA,NA,NA
1467,1998,7,1467_1998,4,15,1,1467,4,NA,NA,3,3,NA,NA,NA,NA
1467,1999,8,1467_1999,4.5,15,2,1467,NA,4.5,NA,2,NA,2,NA,725,77.2
1467,2000,9,1467_2000,4,15,2,1467,NA,4,NA,4,NA,4,NA,825,74
1467,2001,10,1467_2001,4,15,2,1467,NA,4,NA,0,NA,0,NA,NA,NA
1467,2002,11,1467_2002,4,15,2,1467,NA,4,NA,4,NA,4,NA,NA,NA
1467,2003,12,1467_2003,5,15,3,1467,NA,NA,5,4,NA,NA,4,850,70
1467,2004,13,1467_2004,5,15,3,1467,NA,NA,5,0,NA,NA,0,837.5,84.85
1467,2005,14,1467_2005,4,15,3,1467,NA,NA,4,0,NA,NA,0,NA,NA
893,1996,12,893_1996,4.5,12,3,893,NA,NA,4.5,NA,NA,NA,NA,NA,78.9
893,1987,3,893_1987,4,12,1,893,4,NA,NA,NA,NA,NA,NA,NA,NA
893,1988,4,893_1988,4,12,1,893,4,NA,NA,NA,NA,NA,NA,NA,NA
